# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "8" "-s" "2" "-a" "/mnt/pv_compute/yifan/ref_genome/mm10.ncbiRefSeq.gtf" "-o" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/counts/S2_STAR2_practice_featurecounts.txt" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N01_AM_Naive_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N02_AM_Naive_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N03_AM_Naive_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N04_AM_Naive_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R01_AM_Allo2h_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R02_AM_Allo2h_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R03_AM_Allo2h_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R04_AM_Allo2h_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R05_AM_Allo24h_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R06_AM_Allo24h_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R07_AM_Allo24h_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R08_AM_Allo24h_Aligned.sortedByCoord.out.bam" 
Geneid	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N01_AM_Naive_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N02_AM_Naive_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N03_AM_Naive_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N04_AM_Naive_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R01_AM_Allo2h_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R02_AM_Allo2h_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R03_AM_Allo2h_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R04_AM_Allo2h_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R05_AM_Allo24h_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R06_AM_Allo24h_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R07_AM_Allo24h_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R08_AM_Allo24h_Aligned.sortedByCoord.out.bam
TrnP	133	144	131	116	164	160	107	115	161	176	127	147
TrnT	21	16	14	9	18	24	19	28	31	24	24	19
CYTB	17318	15628	15653	13919	26263	25327	22816	19083	26445	24871	20122	20936
TrnE	34	32	36	37	54	55	51	66	76	58	42	46
ND6	3063	2946	3259	2923	5574	5210	4975	3792	5442	6016	4759	5341
ND5	9819	9437	9626	8279	17060	16733	14696	11467	16869	16910	14739	14872
TrnL2	0	0	0	0	0	0	0	0	0	0	0	0
TrnS2	0	0	0	0	0	0	0	0	0	0	0	0
TrnH	0	0	0	0	0	0	0	0	0	0	0	0
ND4	6307	6021	5932	4869	7947	8025	6788	5925	8666	8283	6882	7399
ND4L	0	0	0	0	0	0	0	0	0	0	0	0
TrnR	0	0	0	0	0	0	0	0	0	0	0	0
ND3	2	0	1	0	0	0	0	0	2	0	0	0
TrnG	0	0	0	0	0	0	0	0	0	0	0	0
COX3	0	0	0	0	0	0	0	0	0	0	0	0
ATP6	0	0	0	0	0	0	0	0	0	1	0	0
ATP8	0	0	0	0	0	0	0	0	0	0	0	0
TrnK	0	0	0	0	0	0	0	0	0	0	0	0
COX2	0	0	0	0	0	0	0	0	0	0	1	0
TrnD	0	0	0	0	0	0	0	0	0	0	0	0
TrnS1	0	0	0	0	0	0	0	0	0	0	0	0
COX1	30458	28450	27052	24319	41082	40300	34840	29817	45397	45832	38062	39996
TrnY	19	14	16	18	37	26	20	26	32	20	17	12
TrnC	11	6	4	7	9	15	27	11	22	21	7	18
TrnN	4	6	6	3	5	5	5	9	10	7	3	13
TrnA	18	23	19	22	31	26	33	42	28	47	19	37
TrnW	15	14	18	16	23	21	35	29	47	40	29	23
ND2	8110	7721	7269	6981	11412	10699	9917	8435	12497	12340	9808	10125
TrnM	5	9	6	2	5	6	2	4	9	14	11	9
TrnQ	11	16	15	17	14	27	37	16	24	25	30	30
TrnI	5	11	11	12	12	23	11	8	10	11	7	12
ND1	10407	9777	10046	8933	18319	18200	16531	13070	17439	18314	15583	16419
TrnL1	0	0	0	0	2	0	0	1	0	0	1	1
mt-Rnr2	3527	3214	3317	3844	6469	5893	6606	5821	5440	5845	4437	5762
TrnV	0	0	0	0	0	0	0	0	0	0	0	0
mt-Rnr1	1264	1022	1061	1407	1493	1774	2376	1669	1683	1506	1349	1860
TrnF	0	0	0	0	0	0	0	0	0	0	0	0
Cbx7	123	106	116	89	185	158	96	89	77	60	78	60
Apobec3	391	335	335	246	379	471	375	291	484	389	327	284
Pacs2	1163	919	923	713	1249	1240	952	813	1483	1319	1106	990
Tex22	0	1	0	0	2	1	1	0	0	1	0	0
Mta1	397	324	334	272	454	431	383	276	635	581	517	421
F930026P19Rik	0	0	0	1	0	0	0	0	0	0	0	0
Crip2	38	40	35	37	76	50	53	50	32	46	16	21
Gm30599	0	4	4	4	2	2	1	3	0	1	0	0
Crip1	321	304	291	318	1730	1404	1593	1036	345	539	243	312
Tedc1	61	38	48	39	60	55	53	37	336	331	263	224
Mup20	0	0	0	0	0	0	0	0	0	0	0	0
Mup3	0	0	0	0	0	0	0	0	0	0	0	0
Gm12909	0	0	0	0	0	0	0	0	0	0	0	0
Mup21	0	0	0	0	0	0	0	0	0	0	0	0
Zfp37	1	0	0	1	2	2	1	0	0	0	0	0
Gm30451	0	0	0	0	0	0	0	0	0	0	0	0
LOC108168693	0	0	0	0	0	0	0	0	0	0	0	0
Mup-ps21	0	0	0	0	0	0	0	0	0	0	0	0
Mup-ps19	0	0	0	0	0	0	0	0	0	0	0	0
Mup-ps18	0	0	0	0	0	0	0	0	0	0	0	0
Mup-ps23	0	0	0	0	0	0	0	0	0	0	0	0
Mup5	0	0	0	0	0	0	0	0	0	0	0	0
Mup-ps16	0	0	0	0	0	0	0	0	0	0	0	0
Mup19	0	0	0	0	0	0	0	0	0	0	0	0
Mup-ps14	0	0	0	0	0	0	0	0	0	0	0	0
Mup13	0	0	0	0	0	0	0	0	0	0	0	0
Mup-ps4	0	0	0	0	0	0	0	0	0	0	0	0
Mup9	0	0	0	0	0	0	0	0	0	0	0	0
Mup-ps28	0	0	0	0	0	0	0	0	0	0	0	0
Mup-ps29	0	0	0	0	0	0	0	0	0	0	0	0
Mup2	0	0	0	0	0	0	0	0	0	0	0	0
Mup7	0	0	0	0	0	0	0	0	0	0	0	0
Mup-ps1	2	0	0	1	0	0	0	0	0	0	0	0
Mup6	0	0	0	0	0	0	0	0	0	0	0	0
Mup4	0	0	0	0	0	0	0	0	0	0	0	0
Slc46a2	0	0	0	0	0	0	0	2	1	0	0	0
Snx30	698	640	514	499	903	967	679	567	994	893	940	879
Slc1a1	0	1	0	1	0	0	2	0	0	0	0	1
Igf2r	23	15	25	16	27	21	29	10	107	179	61	48
Gm7162	0	0	0	0	0	0	0	0	0	0	0	0
Mas1	0	0	0	0	0	0	0	0	0	0	0	0
Airn	0	1	0	0	1	0	0	0	0	0	0	0
Rcc2	1041	888	873	612	1252	1245	969	864	1926	1678	1456	1421
Padi6	1	1	2	0	0	0	0	0	1	0	0	0
Padi4	1	0	0	0	0	0	0	0	0	0	0	0
Gm52482	7	1	3	0	3	0	2	1	2	1	3	1
Padi3	10	11	15	8	8	8	6	7	4	7	3	8
Gm13032	0	1	0	0	0	0	0	0	0	2	0	0
Padi1	0	0	0	0	0	0	1	0	0	0	0	0
4930515B02Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm46719	0	0	0	0	0	0	0	0	0	0	0	0
Gm26226	0	0	0	0	0	0	0	0	1	0	0	0
Gm34375	0	1	0	1	0	1	0	1	0	0	0	0
Padi2	9	11	9	15	12	7	7	11	6	8	13	2
Gm13031	0	1	0	2	1	0	2	2	0	0	0	1
Gm34431	0	0	0	0	0	0	0	0	0	0	0	0
Tcl1b3	0	0	0	0	0	0	0	0	0	0	0	0
LOC115489384	0	0	0	0	0	0	0	0	0	0	0	0
Tcl1b5	0	0	0	0	0	0	0	0	0	0	0	0
Tcl1b1	0	0	0	0	0	0	0	0	0	0	0	0
Tcl1b2	0	0	0	0	0	0	0	0	0	0	0	0
Gm6726	0	0	0	0	0	0	0	0	0	0	0	0
Esp36	0	0	0	0	0	0	0	0	0	0	0	0
Olfr136	0	0	0	0	0	0	0	0	0	0	0	0
Olfr762-ps1	0	0	0	0	0	0	0	0	0	0	0	0
Olfr137	0	0	0	0	0	0	0	0	0	0	0	0
Olfr138	0	0	0	0	0	0	0	0	0	0	0	0
Olfr135	0	0	0	0	0	0	0	0	0	0	0	0
Olfr134	0	0	0	0	0	0	0	0	0	0	0	0
Olfr133	0	0	0	0	0	0	0	0	0	0	0	0
Olfr132	0	0	0	0	0	0	0	0	0	0	0	0
Olfr131	0	0	0	0	0	0	0	0	0	0	0	0
Gm18833	0	0	0	0	0	0	0	0	0	0	0	0
Olfr130	0	0	0	0	0	0	0	0	0	0	0	0
Olfr129	0	0	0	0	0	0	0	0	0	0	0	0
Gm4325	0	0	1	1	0	3	3	0	2	1	2	5
Gm18522	0	0	0	0	0	0	0	0	0	0	0	0
Olfr761	0	0	0	0	0	0	0	0	0	0	0	0
Gm5967	0	0	0	0	0	0	2	0	0	0	0	0
Olfr128	0	0	0	0	0	0	0	0	0	0	0	0
Olfr127	0	0	0	0	0	0	0	0	0	0	0	0
Gm18520	0	0	0	0	0	0	0	0	0	0	0	0
Gm18737	1	0	0	0	0	0	1	0	1	0	0	0
Olfr126	0	0	0	0	0	0	0	0	0	0	0	0
